,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Manah,OCGT,OCGT,PP,OM,253.5,,,0,0,0,1996,,2051,22.7067,57.5779,,,57
1,Rusail,OCGT,OCGT,PP,OM,184.6,,,0,0,0,1984,,2051,23.5542,58.1993,,,120
2,Sohar II IPP,CCGT,CCGT,PP,OM,750.2,,,0,0,0,2006,,2051,24.47592983,56.62846283,,,35
3,Sohar III IPP,CCGT,CCGT,PP,OM,1747.8,,,0,0,0,2006,,2051,24.47592983,56.62846283,,,35
4,Barka I Power & Desalination Plant,CCGT,CCGT,PP,OM,412.0,,,0,0,0,2003,,2051,23.70736021,57.98454702,,,61
5,Salalah II IPP ,CCGT,CCGT,PP,OM,442.0,,,0,0,0,2003,,2051,16.938682,53.972467,,,103
6,Barka III Power Plant,CCGT,CCGT,PP,OM,750.0,,,0,0,0,2008,,2051,23.707,57.9816,,,61
7,Barka II Power & Desalination Plant,CCGT,CCGT,PP,OM,680.0,,,0,0,0,2003,,2051,23.707225,57.98105167,,,61
8,Ibri IPP,CCGT,CCGT,PP,OM,1557.2,,,0,0,0,2019,,2059,23.365562,56.283718,,,98
9,Musandam,OCGT,OCGT,PP,OM,120.0,,,0,0,0,2017,,2057,26.056121,56.089118,,,129
10,Khasab Power Station,Oil,Steam Turbine,PP,OM,79.8,,,0,0,0,2017,,2057,26.056121,56.089118,,,129
11,Salalah I IWPP,CCGT,CCGT,PP,OM,434.0,,,0,0,0,2012,,2052,17.038657,54.490113,,,125
12,Sur IPP,CCGT,CCGT,PP,OM,2018.0,,,0,0,0,2014,,2054,22.655898,59.416961,,,37
13,Ibri II Solar PV IPP,Solar,Pv,PP,OM,560.0,,,0,0,0,2021,,2061,23.2312,56.2525,,,98
14,Manah I Solar IPP,Solar,Pv,PP,OM,500.0,,,0,0,0,2024,,2065,22.7067,57.5779,,,57
15,Manah II Solar IPP,Solar,Pv,PP,OM,500.0,,,0,0,0,2025,,2065,22.7055,57.5788,,,57
16,Ibri III Solar IPP,Solar,Pv,PP,OM,500.0,,,0,0,0,2026,,2066,23.23,56.25,,,98
17,JBB Wind IPP,Wind,Onshore,PP,OM,100.0,,,0,0,0,2027,,2066,22.0025,59.3233,,,79
18,Dhofar I Wind Farm,Wind,Onshore,PP,OM,50.0,,,0,0,0,2024,,2064,19.6486,57.705,,,49
19,Dhofar II Wind Farm,Wind,Onshore,PP,OM,200.0,,,0,0,0,2027,,2067,19.6486,57.705,,,49
20,Sadah Wind Farm,Wind,Onshore,PP,OM,70.0,,,0,0,0,2027,,2067,19.6486,57.705,,,49
21,Ras Madrakah Wind IPP,Wind,Onshore,PP,OM,300.0,,,0,0,0,2027,,2067,19.3917,57.3731,,,49
22,MIS Solar IPP 2027,Solar,Pv,PP,OM,500.0,,,0,0,0,2027,,2067,20.52,57.7,,,47
23,Mahout Wind Farm,Wind,Onshore,PP,OM,400.0,,,0,0,0,2028,,2069,18.7167,57.3,,,140
24,MIS Power 2027 - 2029,CCGT,CCGT,PP,OM,1945.4,,,0,0,0,2028,,2068,23.5542,58.1993,,,120
25,NPS Power Plant - Dhofar,OCGT,OCGT,PP,OM,272.8,,,0,0,0,2003,,2051,16.9402,53.9734,,,103
